,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
11,0.004938272,0.012345679,0.007407407,0.044444444,0.051851852,0.056790123,0.059259259,0.086419753,0.081481481,0.064197531,0.098765432,0.051851852,0.049382716,0.061728395,0.037037037,0.04691358,0.034567901,0.032098765,0.019753086,0.054320988,0.017283951,0.014814815,0.004938272,0.007407407,1
12,0,0.004926108,0.012315271,0.022167488,0.032019704,0.04679803,0.071428571,0.07635468,0.078817734,0.071428571,0.086206897,0.078817734,0.0591133,0.061576355,0.039408867,0.041871921,0.034482759,0.032019704,0.0591133,0.039408867,0.022167488,0.022167488,0,0.007389163,1
13,0,0.007389163,0.012315271,0.002463054,0.009852217,0.049261084,0.061576355,0.0591133,0.064039409,0.10591133,0.093596059,0.078817734,0.071428571,0.051724138,0.049261084,0.066502463,0.032019704,0.041871921,0.049261084,0.054187192,0.014778325,0.014778325,0.004926108,0.004926108,1
14,0.007389163,0.002463054,0.002463054,0.004926108,0.017241379,0.02955665,0.036945813,0.054187192,0.051724138,0.078817734,0.073891626,0.096059113,0.091133005,0.066502463,0.064039409,0.068965517,0.0591133,0.051724138,0.041871921,0.054187192,0.019704433,0.019704433,0.004926108,0.002463054,1
15,0.002469136,0.002469136,0.012345679,0.014814815,0.012345679,0.022222222,0.022222222,0.051851852,0.02962963,0.086419753,0.083950617,0.071604938,0.108641975,0.086419753,0.079012346,0.054320988,0.044444444,0.061728395,0.071604938,0.037037037,0.012345679,0.027160494,0.002469136,0.002469136,1
16,0,0,0.007407407,0.004938272,0.012345679,0.014814815,0.019753086,0.032098765,0.051851852,0.051851852,0.081481481,0.096296296,0.07654321,0.086419753,0.07654321,0.064197531,0.081481481,0.051851852,0.066666667,0.061728395,0.022222222,0.022222222,0.004938272,0.012345679,1
17,0.002444988,0.002444988,0.007334963,0.007334963,0.004889976,0.007334963,0.024449878,0.019559902,0.031784841,0.048899756,0.063569682,0.08801956,0.090464548,0.070904645,0.090464548,0.095354523,0.090464548,0.06601467,0.075794621,0.051344743,0.031784841,0.009779951,0.009779951,0.009779951,1
18,0,0.002475248,0.002475248,0.002475248,0.00990099,0.012376238,0.017326733,0.01980198,0.022277228,0.044554455,0.042079208,0.074257426,0.084158416,0.074257426,0.111386139,0.089108911,0.094059406,0.096534653,0.064356436,0.054455446,0.022277228,0.03960396,0.012376238,0.007425743,1
19,0,0,0.005025126,0.012562814,0.015075377,0.010050251,0.007537688,0.027638191,0.022613065,0.040201005,0.035175879,0.06281407,0.065326633,0.077889447,0.082914573,0.120603015,0.115577889,0.085427136,0.075376884,0.072864322,0.022613065,0.030150754,0.002512563,0.010050251,1
20,0,0.00530504,0.00795756,0.01061008,0.00530504,0.01061008,0.00530504,0.023872679,0.034482759,0.029177719,0.034482759,0.055702918,0.066312997,0.098143236,0.063660477,0.098143236,0.082228117,0.111405836,0.076923077,0.076923077,0.053050398,0.034482759,0.01061008,0.00530504,1
21,0,0,0.005586592,0,0.005586592,0,0.016759777,0.005586592,0.039106145,0.016759777,0.022346369,0.044692737,0.033519553,0.067039106,0.106145251,0.089385475,0.094972067,0.111731844,0.061452514,0.094972067,0.061452514,0.067039106,0.033519553,0.022346369,1
22,0,0,0.011428571,0.011428571,0.011428571,0.005714286,0.022857143,0.017142857,0.005714286,0.011428571,0.028571429,0.04,0.057142857,0.091428571,0.08,0.068571429,0.12,0.097142857,0.068571429,0.08,0.074285714,0.062857143,0.028571429,0.005714286,1
23,0,0,0,0,0,0,0,0.017857143,0.035714286,0.017857143,0.053571429,0,0,0.053571429,0.089285714,0.071428571,0,0.125,0.178571429,0.071428571,0.125,0.142857143,0.017857143,0,1
24,0,0,0.018518519,0,0.018518519,0.018518519,0,0.074074074,0,0.018518519,0.018518519,0.018518519,0,0.037037037,0.018518519,0.055555556,0.092592593,0.037037037,0.148148148,0.092592593,0.111111111,0.018518519,0.111111111,0.092592593,1
